"id","text","author","headline","profileUrl","timestamp","likes","comments","searchQuery","likesParsed","commentsParsed","engagement","isLead","leadScore","hotLead","ciComplaints","potentialCodemagicLead","hiring","question","stack","company","leadType"
"urn:li:activity:7435259884662681600","🚀 We’re Hiring: Flutter Developer (5+ Years Experience)

📍 Location: Remote / Bangalore
💼 Experience: 5+ Years
⏲️ Duration: 3-6Months

🔹 Role Overview
As a Flutter Developer, you will design and build robust mobile applications using Flutter, BLoC state management, and clean architecture. You will collaborate with cross-functional teams to deliver high-quality healthcare solutions that make a real impact.

🛠 Key Responsibilities:
• Develop and maintain high-quality mobile applications using Flutter
• Implement Flutter BLoC within a clean architecture framework
• Apply design patterns for scalable and maintainable code
• Write unit, widget, and integration tests
• Integrate with native libraries using FFI
• Collaborate with frontend and backend teams
• Participate in code reviews, design discussions, and Agile ceremonies
• Optimize performance and troubleshoot application issues

✅ Qualifications:
• 4+ years of professional Flutter development experience
• At least one Flutter app published on Play Store or App Store
• Strong understanding of clean architecture and design patterns
• Experience with testing frameworks (unit, widget, integration)
• Knowledge of Git, CI/CD tools, and Agile workflows (JIRA)
• Strong debugging and problem-solving skills

⭐ Nice to Have:
• Experience with Amplitude or PostHog analytics
• Exposure to WebRTC / WebSockets for real-time communication
• Familiarity with CI/CD pipelines (Jenkins, GitLab CI, CircleCI)
• Contributions to open-source Flutter projects

📩 Interested candidates can share their profiles rashmi@inumellas.com

Venkata S Inumella


hashtag
#Hiring 
hashtag
#FlutterDeveloper 
hashtag
#MobileDevelopment 
hashtag
#HealthcareTech 
hashtag
#RemoteJobs 
hashtag
#BangaloreJobs 
hashtag
#TechHiring 
hashtag
#Recruitmentjob 
hashtag
#inumellashiring 
hashtag
#Posthoganalytics 
hashtag
#WebRTC 
hashtag
#Websockets
…more","","IT-Business Development Executive
IT-Business Development Executive","https://www.linkedin.com/in/rashmi-hm-b726621a5?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAC_5EgYBu4nDad33AoQ-IgAG9xdzhoSr9nc","4h • 
 
4 hours ago • Visible to anyone on or off LinkedIn","3","0","flutter developer",3,0,3,true,14,true,"{""platformsMentioned"":[""jenkins"",""circleci"",""gitlab ci""],""ciComplaintText"":""""}",true,false,false,"[""flutter"",""expo""]","","CI Pain"
"urn:li:activity:7435259935665401857","🚀 We’re Hiring: Flutter Developer (5+ Years Experience)

📍 Location: Remote / Bangalore
💼 Experience: 5+ Years
⏲️ Duration: 3-6Months

🔹 Role Overview
As a Flutter Developer, you will design and build robust mobile applications using Flutter, BLoC state management, and clean architecture. You will collaborate with cross-functional teams to deliver high-quality healthcare solutions that make a real impact.

🛠 Key Responsibilities:
• Develop and maintain high-quality mobile applications using Flutter
• Implement Flutter BLoC within a clean architecture framework
• Apply design patterns for scalable and maintainable code
• Write unit, widget, and integration tests
• Integrate with native libraries using FFI
• Collaborate with frontend and backend teams
• Participate in code reviews, design discussions, and Agile ceremonies
• Optimize performance and troubleshoot application issues

✅ Qualifications:
• 4+ years of professional Flutter development experience
• At least one Flutter app published on Play Store or App Store
• Strong understanding of clean architecture and design patterns
• Experience with testing frameworks (unit, widget, integration)
• Knowledge of Git, CI/CD tools, and Agile workflows (JIRA)
• Strong debugging and problem-solving skills

⭐ Nice to Have:
• Experience with Amplitude or PostHog analytics
• Exposure to WebRTC / WebSockets for real-time communication
• Familiarity with CI/CD pipelines (Jenkins, GitLab CI, CircleCI)
• Contributions to open-source Flutter projects

📩 Interested candidates can share their profiles rashmi@inumellas.com

Venkata S Inumella


hashtag
#Hiring 
hashtag
#FlutterDeveloper 
hashtag
#MobileDevelopment 
hashtag
#HealthcareTech 
hashtag
#RemoteJobs 
hashtag
#BangaloreJobs 
hashtag
#TechHiring 
hashtag
#Recruitmentjob 
hashtag
#inumellashiring 
hashtag
#Posthoganalytics 
hashtag
#WebRTC 
hashtag
#Websockets
…more","","6,072 followers
6,072 followers","https://www.linkedin.com/company/inumellas/posts","4h • 
 
4 hours ago • Visible to anyone on or off LinkedIn","2","0","flutter developer",2,0,2,true,14,true,"{""platformsMentioned"":[""jenkins"",""circleci"",""gitlab ci""],""ciComplaintText"":""""}",true,false,false,"[""flutter"",""expo""]","","CI Pain"
"urn:li:activity:7434203561879846912","🚀 Hiring: Mobile App Developer (Flutter)

 📍 Lagos State, Nigeria (Hybrid)

 🕒 Full-Time Contract (Renewable Yearly)

Looking for a talented Mobile App Developer with strong Flutter experience to join a fast-paced IT team. If you’re passionate about building high-quality, scalable mobile applications and delivering seamless user experiences across Android and iOS platforms, this role is for you.


🎯 Qualifications:
* Bachelor’s degree in Computer Science, Engineering, or related discipline (Minimum 2:1).
* 3+ years’ experience developing native Android (Kotlin/Java) and iOS (Swift/Objective-C) applications.
* 2+ years building Flutter apps for Android and iOS
* Experience with modern architectures (MVVM, BLoC, Redux)
* Proficiency with Git and CI/CD tools (GitHub Actions, Bitrise, Fastlane)
* Experience working in Agile environments (Jira, Trello, Azure DevOps)

📩 Interested candidates should send a DM with their CV.

Thank you.
…more","","IT Delivery | Project Management | Digital & Enterprise Transformation | Strategy Implementation| SAFe Scrum Master
IT Delivery | Project Management | Digital & Enterprise Transformation | Strategy Implementation| SAFe Scrum Master","https://www.linkedin.com/in/uche-okoronkwo-mba-pmp%C2%AE-prince2%C2%AE-psm%C2%AE-ssm%C2%AE-4b741a111?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABwBF0sB5hdpotPZfP9xbMmN_-58TNaYq8s","3d • 
 
3 days ago • Visible to anyone on or off LinkedIn","8","2 comments","mobile devops",8,2000000,4000008,true,22,true,"{""platformsMentioned"":[""bitrise"",""github actions"",""azure devops""],""ciComplaintText"":""""}",true,true,false,"[""flutter"",""kotlin"",""swift""]","","CI Pain"
"urn:li:activity:7434157378952159232","🚀 Hiring: Flutter Developer | 5+ Years | Remote 
📍 Location: Remote (Bangalore candidates also open)
⏰ Work Timings: IST – 10:00 AM to 7:00 PM
📩 Interested candidates can share their updated CV at:
DHEERAJ.GUPTA@SHIVSYS.COM
🔧 Role Overview
You will be responsible for building scalable, secure, and high-performance healthcare applications using Flutter. The role involves working with BLoC state management and clean architecture principles to deliver impactful real-world solutions.
🛠 Key Responsibilities:
✔ Design and develop high-quality Flutter mobile applications
✔ Implement BLoC state management within clean architecture
✔ Write unit, widget & integration tests
✔ Integrate native libraries using FFI
✔ Collaborate with frontend & backend teams
✔ Participate in Agile ceremonies & code reviews
✔ Optimize performance and maintain code quality
✅ Must-Have Skills:
• Strong cross-platform mobile development experience
• At least one app deployed on Play Store
• Experience with design systems & clean architecture
• Strong communication skills
🎯 Required Qualifications:
• 4+ years of professional Flutter development experience
• Strong knowledge of clean architecture & design patterns
• Experience with testing (unit, widget, integration)
• Hands-on FFI integration experience
• Experience with Git, CI/CD tools
• Agile environment experience (JIRA or similar)
• Strong debugging & problem-solving skills
⭐ Nice to Have:
• Experience with Amplitude or PostHog
• Exposure to WebRTC & WebSockets
• CI/CD tools (Jenkins, GitLab CI, CircleCI)
• Open-source Flutter contribution

hashtag
#Hiring 
hashtag
#FlutterDeveloper 
hashtag
#RemoteJobs 
hashtag
#MobileDeveloper 
hashtag
#HealthcareTech 
hashtag
#TechHiring 
hashtag
#ImmediateJoiners
…more","","Empowering Tech Talent, Transforming Businesses || Shivsys || Ex- Velocis
Empowering Tech Talent, Transforming Businesses || Shivsys || Ex- Velocis","https://www.linkedin.com/in/dheeraj-gupta-140114233?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADo3KMABf7jbrSAHcSx9CIbAb8CawqwHO34","3d • 
 
3 days ago • Visible to anyone on or off LinkedIn","70","19 comments","mobile ci/cd",70,19000000,38000070,true,22,true,"{""platformsMentioned"":[""jenkins"",""circleci"",""gitlab ci""],""ciComplaintText"":""""}",true,false,false,"[""flutter"",""expo""]","","CI Pain"
"urn:li:activity:7434185568617525248","🚀 Hiring: Flutter Developer | 5+ Years | Remote / Bangalore
We are an innovative healthcare startup building scalable and secure digital solutions to transform patient and provider experiences. We are looking for an experienced Flutter Developer to join our agile and fast-growing team.
🔹 Experience: 5+ years
🔹 Location: Remote / Bangalore
🔧 Key Responsibilities
✅ Develop and maintain high-quality mobile apps using Flutter
✅ Implement BLoC state management and clean architecture
✅ Write unit, widget, and integration tests
✅ Integrate native libraries using FFI
✅ Collaborate with cross-functional teams in an Agile environment
✅ Optimize performance and ensure code quality
✅ Must-Have
✔ Strong experience in Flutter and design patterns
✔ At least one live app on Play Store or App Store
✔ Experience with testing, CI/CD, and version control
✔ Strong debugging and problem-solving skills
⭐ Nice to Have: Analytics tools, WebRTC, WebSockets, Jenkins/GitLab CI, open-source contributions
📩 Interested candidates, please share your updated CV on Diksha.pabial@shivsys.com
Immediate joiners preferred!

hashtag
#Hiring 
hashtag
#Flutter 
hashtag
#MobileDeveloper 
hashtag
#HealthcareTech 
hashtag
#RemoteJobs 
hashtag
#Bangalore 
hashtag
#Agile
…more","","IT Recruiter @Shivsys / Talent Acquisition / Hiring Developer, Engineer’s and IT Professional
IT Recruiter @Shivsys / Talent Acquisition / Hiring Developer, Engineer’s and IT Professional","https://www.linkedin.com/in/diksha-pabial-a5843a389?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAF-jfGQBl08mVTiWE-dvNI3jMVxYcjzgKgk","3d • 
 
3 days ago • Visible to anyone on or off LinkedIn","31","11 comments","mobile ci/cd",31,11000000,22000031,true,24,true,"{""platformsMentioned"":[""jenkins"",""gitlab ci""],""ciComplaintText"":""""}",true,true,false,"[""flutter""]","","CI Pain"
"urn:li:activity:7435218685713215488","🔥 We’re Hiring : Senior Flutter Developer | 5+ Years Experience | Hyderabad

We are looking for an experienced Senior Flutter Developer to join a high-impact team working on a strategic digital banking mobile application. The ideal candidate will help design and deliver a scalable, secure, and enterprise-grade mobile solution.

📍 Location: Hyderabad
📅 Interview: Saturday F2F Interview (For shortlisted candidate only)
⚡ Joining: Immediate Joiners Preferred
💼 Experience: 5+ Years

🔹 Key Responsibilities
• Define and own the Flutter mobile app architecture, ensuring a modular, maintainable, and scalable codebase
• Lead integration of native mobile SDKs into Flutter using platform channels / native bridges
• Participate in solution architecture discussions, sprint planning, and backlog grooming
• Identify technical risks early and propose PoCs, architecture patterns, and mitigation plans
• Ensure CI/CD readiness, secure mobile delivery practices, and quality standards
• Guide developers and conduct code reviews for scalability, performance, and maintainability

🔹 Main Skills (Enterprise Focus)
• Flutter Architecture Development
• Enterprise Mobile Application Development
• Native Integration with Flutter (Android & iOS)
• Mobile SDK Integration
• Performance Optimization & Secure Mobile Development

🔹 Required Technical Skills
• Strong expertise in Flutter (widgets, state management, navigation, animations)
• Solid understanding of Android & iOS app lifecycles and SDK integrations
• Experience with REST APIs, authentication mechanisms, and secure mobile development
• Knowledge of local storage solutions (SQLite) and offline capabilities
• Experience with performance tuning, threading, and debugging hybrid/native integrations
• Familiarity with DevOps & CI/CD tools such as GitLab CI/CD, Firebase, or Bitrise
• Experience delivering Flutter applications in production at scale

🔹 Nice to Have
• Experience working on digital banking or fintech mobile applications
• Familiarity with enterprise mobile architecture patterns

💡 If you have strong experience in 
hashtag
#Flutter architecture, native integration, and enterprise mobile development, we’d love to connect.

📩 Apply / Refer: menaga.g@netconnectglobal.com



hashtag
#Hiring 
hashtag
#SeniorFlutterDeveloper 
hashtag
#FlutterJobs 
hashtag
#MobileArchitecture 
hashtag
#EnterpriseDevelopment 
hashtag
#HyderabadJobs 
hashtag
#TechHiring 
hashtag
#ImmediateHiring
…more","","Talent Acquisition Executive | Net Connect Global | Recruiting
Talent Acquisition Executive | Net Connect Global | Recruiting","https://www.linkedin.com/in/menaga-gangatharan-488b23140?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACJWfOgBUCG1g8bCg2ktr2wML_XQed1KdJY","7h • Edited • 
 
7 hours ago • Edited • Visible to anyone on or off LinkedIn","3","0","flutter developer",3,0,3,true,14,true,"{""platformsMentioned"":[""bitrise"",""gitlab ci""],""ciComplaintText"":""""}",true,true,false,"[""flutter""]","","CI Pain"
"urn:li:activity:7434246640841981953","Hiring: React Native Developer | Atlanta, GA (Onsite)
 Hiring for a React Native Developer role with our direct client in Atlanta, GA (Onsite).
🔹 5+ years building REST-based APIs using .NET Web API
 🔹 3+ years with .NET Core / .NET 6
 🔹 Strong experience in Azure (Functions, App Services, AKS, Service Bus, Event Grid)
 🔹 Hands-on Microservices architecture on Azure Cloud
 🔹 SSO integration (Okta / Ping Identity / ForgeRock)
 🔹 OAuth / SAML / JWT authentication
 🔹 Azure DevOps CI/CD pipeline experience
Looking for strong backend + cloud-focused engineers with experience building scalable, secure microservices for high-availability systems.

📍 Location: Atlanta, GA (Onsite)
 📩 Interested candidates can reach out directly or DM for more details.


hashtag
#Hiring 
hashtag
#ReactNative 
hashtag
#DotNet 
hashtag
#Azure 
hashtag
#Microservices 
hashtag
#AtlantaJobs
…more","","Driving growth at Pianeta Solutions | Full Cycle Recruitment Strategist | Talent Acquisition Specialist
Driving growth at Pianeta Solutions | Full Cycle Recruitment Strategist | Talent Acquisition Specialist","https://www.linkedin.com/in/mikeaustin3?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAADbGFEIBIVmym91f85o0eyttwRC1K0IZQSI","3d • 
 
3 days ago • Visible to anyone on or off LinkedIn","9","9 comments","react native developer",9,9000000,18000009,true,25,true,"{""platformsMentioned"":[""azure devops""],""ciComplaintText"":""""}",true,true,false,"[""react native""]","Pianeta Solutions","CI Pain"
"urn:li:activity:7435170268802596869","🚀 Hiring: React Native Mobile Developer | 12-Month Contract | Kuala Lumpur

We are currently looking for an experienced React Native Mobile Developer to join a project with our client in Kuala Lumpur.
If you have extensive experience building cross-platform mobile applications with React Native, this could be a great opportunity to work on impactful mobile products in a collaborative Agile environment.

💼 Role Details
• Position: React Native Mobile Developer
• Duration: 12 Months (extendable)
• Location: Kuala Lumpur (TCS Office)
• Open for Malaysian Citizens (as per-client request)

🔎 Key Skills Required
• Strong experience in React Native mobile development
• Proficiency in JavaScript / TypeScript and modern React frameworks
• Experience with Redux or other state management libraries
• Integration with RESTful APIs or GraphQL
• Experience with monitoring tools such as Firebase or Sentry
• Familiarity with Xcode, Android Studio, and Gradle for native builds
• Understanding of mobile architecture patterns (MVC, MVVM)
• Knowledge of mobile deployment for iOS and Android
• Experience working in Agile environments

⭐ Good to Have
• Experience with CI/CD tools such as GitLab, Azure DevOps, or Jenkins

📩 Interested or know someone suitable?
Please share your updated CV to nabilah@kris.sg


hashtag
#Hiring 
hashtag
#ReactNative 
hashtag
#MobileDeveloper 
hashtag
#TechJobs 
hashtag
#SoftwareEngineer 
hashtag
#MalaysiaJobs 
hashtag
#KualaLumpur 
hashtag
#AppDevelopment
…more","","Talent Acquisition | Tech Recruiter
Talent Acquisition | Tech Recruiter","https://www.linkedin.com/in/nabilahna10?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACe98awBjif73kYPZCA9N1fJi5LbfXYgfIY","11h • 
 
11 hours ago • Visible to anyone on or off LinkedIn","3","2 comments","mobile devops",3,2000000,4000003,true,31,true,"{""platformsMentioned"":[""jenkins"",""azure devops""],""ciComplaintText"":""""}",true,true,true,"[""react native""]","","CI Pain"
"urn:li:activity:7435170350306467841","🚀 Hiring: React Native Mobile Developer | 12-Month Contract | Kuala Lumpur

We are currently looking for an experienced React Native Mobile Developer to join a project with our client in Kuala Lumpur.
If you have extensive experience building cross-platform mobile applications with React Native, this could be a great opportunity to work on impactful mobile products in a collaborative Agile environment.

💼 Role Details
• Position: React Native Mobile Developer
• Duration: 12 Months (extendable)
• Location: Kuala Lumpur (TCS Office)
• Open for Malaysian Citizens (as per-client request)

🔎 Key Skills Required
• Strong experience in React Native mobile development
• Proficiency in JavaScript / TypeScript and modern React frameworks
• Experience with Redux or other state management libraries
• Integration with RESTful APIs or GraphQL
• Experience with monitoring tools such as Firebase or Sentry
• Familiarity with Xcode, Android Studio, and Gradle for native builds
• Understanding of mobile architecture patterns (MVC, MVVM)
• Knowledge of mobile deployment for iOS and Android
• Experience working in Agile environments

⭐ Good to Have
• Experience with CI/CD tools such as GitLab, Azure DevOps, or Jenkins

📩 Interested or know someone suitable?
Please share your updated CV to nabilah@kris.sg


hashtag
#Hiring 
hashtag
#ReactNative 
hashtag
#MobileDeveloper 
hashtag
#TechJobs 
hashtag
#SoftwareEngineer 
hashtag
#MalaysiaJobs 
hashtag
#KualaLumpur 
hashtag
#AppDevelopment
…more","","Talent Acquisition | Tech Recruiter
Talent Acquisition | Tech Recruiter","https://www.linkedin.com/in/nabilahna10?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAACe98awBjif73kYPZCA9N1fJi5LbfXYgfIY","10h • 
 
10 hours ago • Visible to anyone on or off LinkedIn","2","0","react native developer",2,0,2,true,26,true,"{""platformsMentioned"":[""jenkins"",""azure devops""],""ciComplaintText"":""""}",true,true,true,"[""react native""]","","CI Pain"
"urn:li:activity:7432275771307720704","🚀 Hiring: Senior React Native Developer | iGenie Labs
iGenie Labs is looking for a Senior React Native Developer with strong experience in building scalable cross-platform mobile apps and exposure to Azure Cloud & DevOps practices.
Requirements:
• 5+ years experience in React Native, JavaScript/TypeScript
• Strong knowledge of mobile app architecture, API integration & performance optimization
• Experience with Azure Cloud services
• Familiarity with CI/CD pipelines, Azure DevOps, and automated deployments
• Experience publishing apps to Play Store / App Store
• Good understanding of Git workflows and Agile teams
📩 Share your profile or tag someone who fits this role.

hashtag
#Hiring 
hashtag
#ReactNative 
hashtag
#MobileDeveloper 
hashtag
#Azure 
hashtag
#DevOps 
hashtag
#iGenieLabs
Mail your resumes to: people@igenielabs.com
Work location: Remote/Hybrid
…more","","Director, India Operations at iGenieLabs
Director, India Operations at iGenieLabs","https://www.linkedin.com/in/peruru-praneel-kumar?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAF5_03MBMs94_W6xvrXGu7oyl3ZsQrEhMlo","1w • Edited • 
 
1 week ago • Edited • Visible to anyone on or off LinkedIn","5","2 comments","react native developer",5,2000000,4000005,true,27,true,"{""platformsMentioned"":[""azure devops""],""ciComplaintText"":""""}",true,true,false,"[""react native"",""expo""]","iGenieLabs
Director, India Operations at iGenieLabs","CI Pain"
